name,pay,age,nationality,shooting,passing,dribbling,Intercept,Stealing,goalkeeper_skill,team_position,team_jersey_number,value,club_name,
J. Schoop,3000,31,Denmark,56,61,63,61,61,0,RDM,20,350000,Vejle Boldklub,
M. Jeannin,1000,29,Algeria,0,0,0,19,18,61,SUB,1,325000,FC Sochaux-Montbeliard,
J. White,2000,28,Scotland,65,48,58,23,23,0,SUB,9,475000,Motherwell,
J. Caprice,3000,27,England,50,57,62,60,59,0,SUB,2,400000,Exeter City,
A. Forde,3000,26,Republic of Ireland,58,61,65,31,35,0,LW,14,475000,Oxford United,
J. Ojala,3000,31,Finland,26,46,48,66,57,0,SUB,4,325000,Vejle Boldklub,
E. Fryers,3000,27,England,40,58,63,65,62,0,LCB,3,400000,Swindon Town,
M. Lampson,2000,30,United States,0,0,0,11,14,65,RES,28,300000,Columbus Crew SC,
E. Alfaro,500,32,Uruguay,64,58,55,22,22,0,SUB,11,350000,Liverpool Futbol Club,
B. Dickenson,3000,27,England,58,58,64,59,57,0,LWB,16,400000,Carlisle United,
Yeo Reum,2000,31,Korea Republic,59,63,66,58,55,0,RCM,7,375000,GwangJu FC,
M. Al Sahlawi,6000,33,Saudi Arabia,66,60,62,12,16,0,ST,24,275000,Al Taawoun,
H. Sulaimani,5000,43,Saudi Arabia,53,68,64,66,63,0,SUB,24,0,Al Ahli,
S. Al Qumayzi,6000,28,Saudi Arabia,38,54,62,60,58,0,RB,17,375000,Ettifaq FC,
M. Blair,3000,31,England,56,57,63,57,54,0,SUB,11,325000,Cheltenham Town,
"J. O""Sullivan",3000,26,Republic of Ireland,55,59,64,51,50,0,RM,16,475000,Morecambe,
I. Zurita,3000,28,Mexico,54,62,67,62,61,0,SUB,34,375000,Queretaro,
M. Asiri,9000,33,Saudi Arabia,66,55,63,17,13,0,RES,14,275000,Al Ahli,
P. Ziegler,2000,30,Germany,33,50,60,63,61,0,RCB,34,375000,Western Sydney Wanderers,
D. Iapichino,7000,29,Switzerland,50,56,63,63,61,0,RES,21,375000,FC Sion,
L. Sierpina,1000,32,Poland,56,60,65,38,46,0,LM,11,350000,Podbeskidzie Bielsko-BiaaÇa,
F. Darwish,5000,28,Saudi Arabia,57,58,65,60,55,0,SUB,25,375000,Al Taawoun,
M. Abusabaan,5000,30,Saudi Arabia,55,61,65,61,60,0,LDM,66,375000,Al Taawoun,
A. Al Zaqan,7000,29,Saudi Arabia,61,55,67,13,18,0,SUB,26,450000,Al Fateh,
A. Al Barakah,5000,29,Saudi Arabia,45,56,63,63,62,0,CAM,16,375000,Al Fayha,
M. Rusike,1000,30,Zimbabwe,65,59,65,18,19,0,RES,40,425000,Stabi¶k Fotball,
T. Thiele,2000,28,Germany,62,52,62,16,17,0,RES,16,475000,Viktoria Kioln,
M. Starke,750,29,Namibia,68,62,67,30,34,0,SUB,10,450000,FSV Zwickau,
R. Nagai,3000,29,Japan,61,57,63,19,16,0,SUB,20,450000,Sanfrecce Hiroshima,
A. Bone,500,31,Ecuador,0,0,0,14,18,67,SUB,1,300000,Emelec,
S. Caldwell,2000,29,United States,55,62,61,66,61,0,SUB,6,425000,New England Revolution,
Thuram,5000,29,Brazil,65,48,63,16,23,0,SUB,99,450000,Atiker Konyaspor,
B. Dabanlƒ±,3000,30,Germany,34,56,48,66,64,0,RCB,2,375000,SCR Altach,
B. Stuver,2000,29,United States,0,0,0,17,16,62,SUB,41,325000,New York City FC,
R. a†imovic,2000,29,Sweden,63,55,58,11,13,0,SUB,22,450000,Odds BK,
A. Jahn,2000,29,United States,62,46,62,19,24,0,SUB,14,450000,Atlanta United,
A. Kann,2000,29,United States,0,0,0,13,17,66,SUB,25,325000,Atlanta United,
L. Paz,500,31,Colombia,54,58,60,67,63,0,CM,19,350000,America de Cali,
D. Asprilla,2000,28,Colombia,63,58,67,34,38,0,RES,27,450000,Portland Timbers,
L. Delgado,500,39,Colombia,0,0,0,15,19,69,GK,31,45000,Deportivo Pasto,
H. Osorio,500,32,Colombia,63,58,66,32,29,0,RES,26,350000,Jorge Wilstermann,
L. Kruspzky,3000,28,Argentina,33,49,54,64,67,0,SUB,2,375000,Patronato,
G. Hachen,4000,29,Argentina,61,53,71,22,22,0,SUB,18,450000,Defensa y Justicia,
M. Galmarini,500,38,Argentina,53,59,58,63,63,0,RB,8,80000,Club Atletico Tigre,
J. Thorsen,3000,30,Denmark,50,61,62,60,58,0,LM,19,425000,AC Horsens,
K. Mensah,5000,29,Denmark,62,55,67,56,53,0,LWB,14,375000,Bri∏ndby IF,
F. Martin,2000,30,France,68,68,67,53,39,0,SUB,11,425000,Paris FC,
O. Lund,3000,29,Denmark,40,57,60,65,62,0,SUB,2,375000,Odense Boldklub,
S. Sane,5000,27,Germany,62,38,65,28,26,0,LS,11,475000,FC Wurzburger Kickers,
O. Kristinsson,500,31,Iceland,0,0,0,15,19,59,RES,31,300000,Olympiacos,
M. Garci≠a,4000,28,Argentina,59,60,64,32,32,0,LM,10,450000,Gimnasia y Esgrima La Plata,
A. Sua°ac,3000,31,Croatia,37,35,43,72,66,0,SUB,17,325000,VfL Osnabruck,
R. Blanco,500,38,Venezuela,68,51,61,20,14,0,LS,9,160000,AC Mineros de Guayana,
F. Pol Hurtado,500,32,Venezuela,55,62,60,64,60,0,LDM,19,350000,AC Mineros de Guayana,
Peng Xinli,4000,28,China PR,59,64,66,64,63,0,LCM,25,450000,Shanghai Greenland Shenhua FC,
C. Washington,3000,28,Northern Ireland,63,56,64,28,27,0,SUB,14,475000,Charlton Athletic,
I. Benegas,500,32,Paraguay,30,47,47,67,58,0,LCB,6,300000,Jorge Wilstermann,
A. Gomez,500,27,Peru,62,56,63,63,60,0,LM,12,475000,Alianza Lima,
R. Ramallo,500,29,Bolivia,63,42,64,31,23,0,SUB,8,450000,Always Ready,
R. Mahazi,1000,28,Australia,43,58,56,63,59,0,LCM,5,400000,Incheon United FC,
D. Bjiornquist,1000,31,Sweden,39,50,59,63,64,0,SUB,2,325000,orebro SK,
P. Mullins,2000,28,United States,64,43,61,15,12,0,SUB,13,475000,Toronto FC,
T. McNamara,2000,29,United States,67,65,67,45,48,0,LDM,26,450000,New England Revolution,
Kim Sun Min,2000,28,Korea Republic,57,58,66,59,47,0,RES,8,450000,Daegu FC,
Jiang Zhe,3000,31,China PR,50,56,60,68,66,0,LCM,5,350000,Chongqing Dangdai Lifan FC SWM Team,
Bai Jiajun,4000,29,China PR,50,56,64,56,57,0,LB,23,375000,Shanghai Greenland Shenhua FC,
Hui Jiakang,4000,31,China PR,61,64,66,42,38,0,SUB,17,400000,Tianjin TEDA FC,
T. Davies,3000,28,England,27,41,46,64,62,0,SUB,16,400000,Bristol Rovers,
P. Gladon,3000,28,Netherlands,64,54,58,21,20,0,SUB,9,475000,Willem II,
S. Dooley,2000,28,Northern Ireland,57,61,64,38,34,0,LM,7,450000,Rochdale,
S. Jacob,2000,27,Germany,62,50,64,21,22,0,LS,24,475000,1. FC Saarbrucken,
J. Tevez,500,32,Argentina,63,44,64,19,16,0,ST,23,350000,Universidad Catolica del Ecuador,
G. Shitolo,500,30,South Africa,50,47,57,73,67,0,RES,43,375000,Orlando Pirates,
K. Danielak,2000,28,Poland,61,59,62,37,42,0,RM,8,450000,Podbeskidzie Bielsko-BiaaÇa,
Kim Sung Ju,1000,29,Korea Republic,60,64,62,65,62,0,SUB,22,450000,Incheon United FC,
C. Nui±ez,750,27,Uruguay,64,54,64,34,30,0,RES,9,475000,Deportivo Pasto,
F. Madrigal,3000,28,Mexico,59,64,63,64,63,0,RCM,8,450000,Queretaro,
M. Polaƒçek,1000,30,Slovakia,0,0,0,17,18,64,GK,1,300000,Podbeskidzie Bielsko-BiaaÇa,
Leonardo Freijao,3000,24,Brazil,45,55,42,69,56,0,SUB,21,450000,Ceari° Sporting Club,
Marcelo Vildeia,6000,24,Brazil,62,49,69,23,31,0,SUB,37,500000,Gri™mio,
Peixotacinho,3000,24,Brazil,32,44,31,72,58,0,SUB,19,425000,Bahia,
Mateus Couteira,3000,24,Brazil,35,55,50,61,68,0,SUB,4,425000,Fortaleza,
Vasquao Junior,3000,32,Brazil,33,35,36,74,52,0,SUB,2,300000,Club Athletico Paranaense,
Fli°vio Triginho,5000,24,Brazil,63,41,74,36,33,0,SUB,22,500000,Botafogo,
Iuliano Alfaro,4000,32,Brazil,68,53,67,31,33,0,SUB,20,350000,Bahia,
M. Roman,3000,28,Romania,65,54,61,40,42,0,RES,7,475000,Universitatea Craiova,
E. Si°nchez,500,27,Bolivia,64,52,66,16,17,0,LDM,19,475000,Club Blooming,
E. Ibarguen,750,28,Colombia,60,53,62,22,17,0,SUB,19,475000,Deportivo Pasto,
L. Chacana,2000,27,Argentina,61,58,65,26,20,0,SUB,32,475000,Politehnica Iaaüi,
F. Bejan,2000,29,Romania,32,39,45,64,65,0,SUB,30,375000,Dinamo Bucureaüti,
J. Galeano,3000,31,Argentina,50,62,62,64,64,0,SUB,14,375000,Central Cordoba,
S. Kobayashi,1000,29,Japan,47,64,61,55,54,0,SUB,5,450000,Shonan Bellmare,
K. Ono,1000,30,Japan,24,39,46,66,64,0,LCB,8,375000,Shonan Bellmare,
J. Kamata,3000,34,Japan,28,44,39,66,62,0,SUB,2,170000,Kashiwa Reysol,
Y. Toyoda,1000,35,Japan,65,47,57,28,17,0,LS,11,210000,Sagan Tosu,
T. Kanai,1000,30,Japan,58,56,64,65,61,0,SUB,15,350000,Shimizu S-Pulse,
Borja Domi≠nguez,3000,28,Spain,58,65,63,65,62,0,SUB,14,450000,CD Lugo,
E. Takeda,1000,31,Japan,46,60,62,62,63,0,SUB,17,325000,Yokohama FC,
A. Fari≠a,500,36,Venezuela,39,57,62,66,66,0,SUB,22,80000,AC Mineros de Guayana,
A. Dandea,3000,32,Romania,44,50,45,64,63,0,LCB,30,300000,Astra Giurgiu,
Nelson Freitosa,2000,24,Brazil,0,0,0,8,11,72,SUB,12,350000,Ceari° Sporting Club,
I. Isa,0,31,Bulgaria,63,45,58,27,25,0,0,0,0,0,
A. Araujo,4000,28,Argentina,57,56,68,30,26,0,SUB,44,450000,Club Atletico Talleres,
L. Fosgaard,3000,33,Denmark,52,57,64,58,56,0,RWB,9,200000,Lyngby BK,
G. Heinry,1000,30,France,56,66,63,60,48,0,LCM,10,425000,FC Chambly Oise,
P. PiÆrvulescu,1000,31,Romania,51,61,62,62,66,0,SUB,22,325000,Academica Clinceni,
Quim Araujo,2000,32,Spain,67,66,61,48,39,0,SUB,25,350000,FC Cartagena,
B. Al Mutairi,5000,30,Saudi Arabia,28,52,58,61,56,0,LB,3,350000,Al Fayha,
Raphael Doninho,5000,20,Brazil,58,63,69,36,40,0,SUB,30,500000,Gri™mio,
Nito Carbelho,6000,28,Brazil,62,57,65,32,43,0,SUB,21,475000,Fluminense,
N. Mileusnic,1000,26,Australia,58,55,65,23,24,0,LW,17,475000,Adelaide United,
B. Cuesta,2000,31,Argentina,63,51,58,11,17,0,SUB,9,400000,Puebla FC,
N. Thor,1000,34,Sweden,48,62,62,59,55,0,SUB,7,170000,IK Sirius,
M. Musaka,1000,29,Japan,61,67,63,64,59,0,SUB,7,425000,Shimizu S-Pulse,
D. Frick,650,30,Germany,54,59,62,60,62,0,SUB,19,375000,FSV Zwickau,
P. Sohm,3000,28,Germany,62,58,64,23,25,0,SUB,9,475000,SG Dynamo Dresden,
S. Al Khaibari,5000,30,Saudi Arabia,27,42,39,67,66,0,RCB,4,375000,Al Fayha,
M. Biamou,11000,29,France,65,44,60,25,23,0,RES,9,450000,Coventry City,
J. Liohmannsrioben,1000,29,Germany,46,58,55,63,63,0,SUB,24,375000,FC Hansa Rostock,
R. Aabid,4000,28,France,55,57,69,57,51,0,SUB,8,450000,Hatayspor,
M. Dube,500,27,South Africa,34,54,64,65,63,0,RES,28,400000,Orlando Pirates,
Junior Messias,4000,29,Brazil,62,62,69,19,12,0,CAM,30,450000,Crotone,
A. Vetrih,4000,29,Slovenia,54,63,63,58,57,0,SUB,44,425000,iáaykur Rizespor,
M. Tashiro,1000,32,Japan,42,58,52,64,62,0,SUB,5,300000,Yokohama FC,
F. Torres,2000,31,Chile,27,49,43,71,58,0,SUB,5,325000,Audax Italiano,
R. Sugimoto,1000,27,Japan,58,62,68,24,15,0,SUB,31,475000,Yokohama FC,
L. Schluter,4000,28,Germany,51,56,61,64,61,0,RES,3,375000,Eintracht Braunschweig,
S. Finley,3000,27,England,57,64,66,62,58,0,SUB,18,475000,Fleetwood Town,
H. Abou Demba,2000,28,Mauritania,37,54,61,62,61,0,SUB,13,375000,Grenoble Foot 38,
D. Bertrand,2000,27,France,62,58,70,26,28,0,RM,11,475000,AS Nancy Lorraine,
K. Jacobs,2000,30,South Africa,50,65,62,63,62,0,SUB,7,425000,Livingston FC,
S. Giolles,2000,28,Austria,28,47,58,65,63,0,SUB,39,375000,TSV Hartberg,
T. Sugeno,800,36,Japan,0,0,0,14,14,64,GK,1,80000,Hokkaido Consadole Sapporo,
P. Palacios,3000,32,Paraguay,67,49,56,25,17,0,RES,33,350000,Central Cordoba,
Y. Hoshi,1000,27,Japan,55,55,63,55,55,0,RES,19,475000,Oita Trinita,
Q. Jansen,1000,29,Netherlands,39,43,42,64,61,0,SUB,2,375000,Mji∏ndalen IF,
C. Straton,3000,30,Romania,0,0,0,10,14,64,SUB,1,300000,FCSB (Steaua),
R. Di¢lbea,2000,38,Romania,54,55,52,61,64,0,LDM,5,100000,FC Hermannstadt,
A. Patache,3000,32,Romania,43,51,61,62,65,0,SUB,19,275000,FC Botoaüani,
Erico,2000,30,Brazil,24,51,57,67,65,0,SUB,21,375000,UTA Arad,
J. Castro,4000,28,Mexico,46,60,65,64,62,0,RB,2,450000,Atletico de San Luis,
A. Soubervie,950,36,France,33,59,58,63,61,0,RWB,11,80000,FC Chambly Oise,
M. Albayrak,3000,28,Turkey,34,52,61,73,69,0,SUB,53,375000,BB Erzurumspor,
M. Dobrescu,1000,27,Romania,33,53,60,60,61,0,LB,21,400000,Academica Clinceni,
J. Mullin,2000,27,Scotland,62,61,64,31,28,0,SUB,14,475000,Ross County FC,
H. Vera Oviedo,3000,29,Paraguay,41,46,56,69,66,0,SUB,24,375000,Central Cordoba,
B. Raj,0,32,India,44,58,59,59,61,0,0,0,0,0,
G. Chatterjee,0,34,India,0,0,0,7,9,61,0,0,0,0,
F. Michel,2000,28,France,52,62,71,57,51,0,SUB,10,450000,Grenoble Foot 38,
A. Sy,5000,31,Senegal,28,39,39,65,63,0,RCB,25,325000,Al Adalah,
L. Cabral,500,36,Paraguay,45,50,50,63,60,0,RCB,28,90000,Nacional Asuncion,
J. Alvez,500,36,Uruguay,34,57,53,64,62,0,LB,24,80000,Centro Atletico Fenix,
J. Ortiz,500,38,Bolivia,39,59,60,63,64,0,SUB,14,80000,Jorge Wilstermann,
R. Montero,500,29,Bolivia,36,50,41,68,61,0,SUB,16,375000,Jorge Wilstermann,
R. Salinas,500,32,Paraguay,51,57,49,61,58,0,SUB,5,300000,River Plate Asuncion,
V. Melgar,500,32,Bolivia,52,55,62,68,57,0,RCM,6,300000,Always Ready,
Y. Tello,500,30,Peru,36,52,51,67,64,0,CM,8,375000,Deportivo Binacional,
M. Quiroga,500,28,Bolivia,56,56,61,68,53,0,LCM,8,450000,Nacional Potosi≠,
F. Mera,500,28,Ecuador,61,57,67,22,20,0,SUB,19,450000,Delfi≠n SC,
C. Latorre,500,33,Uruguay,44,57,59,54,49,0,RDM,18,220000,Club Blooming,
F. Acui±a,500,35,Paraguay,44,54,56,63,61,0,SUB,3,140000,Sol de America,
E. Pui±a,500,34,Bolivia,53,60,63,61,59,0,SUB,21,220000,Always Ready,
A. Vera,500,32,Paraguay,57,64,63,55,48,0,SUB,7,350000,Sol de America,
M. Ovejero,500,33,Argentina,58,58,70,43,24,0,SUB,16,275000,Always Ready,
T. Valencia,500,29,Ecuador,64,60,64,52,49,0,RM,11,450000,El Nacional,
G. Georgiev,0,31,Bulgaria,0,0,0,14,16,61,0,0,0,0,
G. Gimenez,500,33,Paraguay,30,53,59,65,61,0,RCB,2,200000,River Plate Asuncion,
M. Prieto,500,34,Paraguay,65,47,62,19,15,0,SUB,11,240000,River Plate Asuncion,
O. Noguera,500,30,Paraguay,31,48,51,68,65,0,SUB,3,350000,Sportivo Luquei±o,
Y. Minami,550,40,Japan,0,0,0,13,14,66,SUB,18,45000,Yokohama FC,
K. Rabihic,800,27,Germany,60,58,69,28,24,0,SUB,9,475000,SC Verl,
Marc Castells,2000,30,Spain,43,54,49,65,62,0,SUB,6,375000,C.D. Castellon,
Jorge Ferni°ndez,2000,28,Spain,51,63,62,55,52,0,SUB,21,450000,C.D. Castellon,
Querol,2000,32,Spain,63,64,63,44,21,0,LM,11,350000,CE Sabadell FC,
R. Figiel,2000,29,Poland,57,62,61,61,53,0,LDM,7,425000,Podbeskidzie Bielsko-BiaaÇa,
I. NƒÉstƒÉsie,2000,28,Romania,61,65,65,33,31,0,SUB,10,450000,FC Arge»ô,
"A. D""Errico",500,28,Italy,42,66,65,66,54,0,RCM,10,450000,AC Monza,
T. Tomic,3000,29,Bosnia Herzegovina,56,61,60,62,60,0,RDM,90,425000,FC Admira Wacker Miodling,
N. Castro,3000,29,Argentina,65,58,66,35,38,0,SUB,6,450000,Arsenal de Sarandi≠,
L. Netz,500,17,Germany,36,44,59,77,68,0,SUB,32,750000,Hertha BSC,
O. Rekik,2000,18,Netherlands,35,38,45,68,72,0,RES,35,775000,Hertha BSC,
K. Dembele,1000,17,England,57,56,70,19,16,0,RES,77,800000,Celtic,
K. Hoever,4000,18,Netherlands,36,57,64,62,57,0,SUB,2,775000,Wolverhampton Wanderers,
L. Pirola,4000,18,Italy,41,47,51,67,66,0,RES,31,775000,Inter,
S. Mara,1000,17,France,63,47,60,23,19,0,RES,38,825000,FC Girondins de Bordeaux,
T. Pembele,550,17,France,38,57,61,63,62,0,SUB,32,675000,Paris Saint-Germain,
L. Agoume,5000,18,France,54,60,66,54,44,0,RES,32,750000,Inter,
A. Dedic,500,17,Bosnia Herzegovina,56,63,66,62,57,0,RES,70,675000,Red Bull Salzburg,
D. Levitt,1000,19,Wales,57,63,64,55,48,0,SUB,23,775000,Charlton Athletic,
E. Galbraith,8000,19,Northern Ireland,56,60,65,61,60,0,RES,54,750000,Manchester United,
A. Gomez,550,18,Mexico,34,47,60,66,64,0,SUB,4,700000,Boavista FC,
E. Simms,9000,19,England,64,50,60,24,19,0,RES,50,800000,Everton,
Frances,500,17,Spain,33,50,56,65,67,0,RES,27,675000,Real Zaragoza,
K. Sulemana,1000,18,Ghana,52,52,70,25,23,0,LW,10,750000,FC Nordsji¶lland,
J. Olschowsky,600,18,Germany,0,0,0,11,11,65,RES,41,625000,Borussia Mionchengladbach,
A. Arli,500,17,Turkey,55,59,70,30,32,0,RES,33,725000,Dijon FCO,
A. Dabo,3000,19,France,58,62,65,65,63,0,RES,34,800000,FC Nantes,
J. Bli°zquez,1000,19,Argentina,0,0,0,12,13,63,SUB,33,675000,Club Atletico Talleres,
L. Ramazani,1000,19,Belgium,56,55,67,34,30,0,SUB,21,800000,UD Almeri≠a,
I. Pherai,1000,19,Netherlands,51,58,71,29,38,0,SUB,25,800000,PEC Zwolle,
J. David,2000,20,Germany,32,52,58,65,59,0,SUB,34,750000,Hamburger SV,
J. Scott,1000,19,Scotland,61,47,61,17,13,0,SUB,11,800000,Hull City,
K. Goudmijn,800,18,Netherlands,50,62,68,57,59,0,RES,21,750000,AZ Alkmaar,
M. Miljevic,2000,19,United States,55,60,67,59,53,0,SUB,19,800000,Argentinos Juniors,
F. Marchwinski,800,18,Poland,57,62,63,49,56,0,SUB,11,750000,Lech Poznan,
A. Obando,3000,20,Argentina,59,55,66,38,33,0,RES,8,800000,Boca Juniors,
Altube,11000,20,Spain,0,0,0,14,14,59,RES,26,675000,Real Madrid,
J. Araujo,500,18,United States,31,54,64,63,59,0,RM,22,700000,LA Galaxy,
D. Bettella,500,20,Italy,26,38,47,64,63,0,SUB,18,750000,AC Monza,
B. Benkhedim,3000,19,France,60,61,68,39,48,0,RES,15,800000,AS Saint-iâtienne,
A. Trubin,500,18,Ukraine,0,0,0,11,11,69,SUB,81,625000,Shakhtar Donetsk,
K. Koindredi,2000,18,France,68,63,65,43,48,0,RES,27,750000,Valencia CF,
L. Villar,500,20,Peru,57,60,59,64,66,0,SUB,8,775000,Sport Huancayo,
L. Samardzic,3000,18,Germany,61,59,71,24,22,0,RES,20,750000,RB Leipzig,
J. Kadile,2000,17,France,63,52,67,18,20,0,RES,36,725000,Rennais,
S. Kulenovic,500,20,Croatia,58,44,64,12,16,0,SUB,77,825000,Dinamo Zagreb,
J. Lindsey,1000,20,United States,43,57,62,61,60,0,SUB,26,750000,Sporting Kansas City,
M. Viviani,500,19,Italy,55,64,62,61,60,0,RES,24,750000,Brescia,
D. Spence,2000,19,England,29,45,61,63,56,0,RM,29,725000,Middlesbrough,
"L. O""Connor",1000,19,Republic of Ireland,45,59,64,62,64,0,RB,2,725000,Tranmere Rovers,
Pol Lozano,2000,20,Spain,49,62,66,59,58,0,RES,26,800000,RCD Espanyol,
Pelayo Morilla,800,18,Spain,59,58,66,21,26,0,RES,31,750000,Real Sporting de Gijon,
A. Di≠az,4000,20,Argentina,60,49,67,18,21,0,SUB,33,825000,San Lorenzo de Almagro,
C. Niasse,4000,20,Senegal,44,56,60,64,63,0,SUB,27,775000,LOSC Lille,
B. Bida,1000,19,Poland,57,54,65,15,12,0,SUB,31,800000,Jagiellonia BiaaÇystok,
A. Stanilewicz,3000,20,Poland,48,62,67,57,54,0,SUB,30,800000,SV Darmstadt 98,
R. Yƒ±lmaz,5000,19,Turkey,45,54,63,67,61,0,RES,33,725000,Beaüiktaaü JK,
R. Postema,1000,18,Netherlands,66,46,59,28,21,0,SUB,29,775000,FC Groningen,
A. Slimane,2000,19,Denmark,53,61,67,55,51,0,RCM,25,775000,Bri∏ndby IF,
R. Villagra,2000,19,Argentina,47,60,63,64,60,0,SUB,15,750000,Rosario Central,
P. Abraham,500,17,Sweden,61,53,66,26,24,0,SUB,14,725000,AIK,
K. Kurt,2000,18,Germany,45,58,67,64,62,0,RES,33,700000,Borussia Mionchengladbach,
Jofre Carreras,1000,19,Spain,63,54,68,37,28,0,RES,29,800000,RCD Espanyol,
Y. Diouf,2000,20,France,0,0,0,11,16,62,SUB,16,675000,Stade de Reims,
J. Rankin-Costello,7000,20,England,56,58,66,59,59,0,RW,24,800000,Blackburn Rovers,
M. Gabbia,5000,20,Italy,33,40,49,71,68,0,SUB,46,750000,Milan,
A. Akbulut,2000,19,Turkey,0,0,0,11,9,64,RES,13,675000,Trabzonspor,
C. Higuera,1000,19,Mexico,0,0,0,13,13,61,SUB,13,675000,Club Tijuana,
A. Amade,4000,20,Germany,33,44,65,64,60,0,RES,44,750000,TSG 1899 Hoffenheim,
T. Klupaõ,2000,20,Poland,52,56,61,28,24,0,RES,34,800000,Lech Poznan,
F. Winther,1000,19,Denmark,27,48,56,65,62,0,LCB,6,750000,Lyngby BK,
A. McCann,1000,20,Northern Ireland,50,56,63,62,59,0,RCM,18,800000,St. Johnstone FC,
R. Giles,6000,20,England,55,57,66,58,57,0,LWB,18,750000,Coventry City,
E. Henderson,7000,20,Scotland,51,66,67,44,48,0,RES,52,800000,Celtic,
Clemente,2000,21,Spain,31,50,46,63,62,0,SUB,5,750000,Real Zaragoza,
J. Lopez,3000,20,Argentina,50,62,68,61,59,0,RES,24,800000,Racing Club,
A. Perea,900,19,Colombia,44,53,59,64,63,0,SUB,21,750000,Orlando City SC,
A. Schi§fer,0,21,Hungary,50,58,62,53,50,0,0,0,0,0,
L. Leroy,1000,20,France,53,64,63,57,56,0,LCM,27,800000,La Berrichonne de Chi¢teauroux,
D. Politic,3000,20,Romania,59,56,67,28,37,0,SUB,22,800000,Bolton Wanderers,
T. Raschl,6000,20,Germany,44,61,66,58,59,0,RES,37,775000,Borussia Dortmund,
Song Min Kyu,1000,20,Korea Republic,56,54,63,26,27,0,LM,12,800000,Pohang Steelers,
P. Yade,3000,20,Senegal,62,55,66,24,29,0,SUB,26,800000,FC Metz,
B. Hurtado,500,21,Venezuela,51,47,70,27,28,0,LM,24,800000,AC Mineros de Guayana,
M. Bahlouli,3000,20,France,62,60,69,36,33,0,RES,13,800000,Sampdoria,
P. Mukairu,3000,20,Nigeria,64,52,66,30,30,0,SUB,12,825000,Antalyaspor,
V. Karpov,500,17,Russia,31,54,55,66,64,0,SUB,62,675000,PFC CSKA Moscow,
Gaspar Campos,2000,20,Spain,60,59,66,28,30,0,RES,27,800000,Real Sporting de Gijon,
P. PokorniΩ,650,18,Slovakia,39,59,61,65,63,0,CDM,6,725000,SKN St. Piolten,
A. Gulay,500,17,Turkey,41,57,62,63,60,0,RES,2,675000,Alanyaspor,
Leo Romi°n,1000,20,Spain,0,0,0,13,12,60,RES,31,675000,RCD Mallorca,
T. Sandoval,2000,21,Argentina,60,46,62,22,18,0,SUB,32,825000,Club Atletico Colon,
R. Sears,2000,21,Wales,41,52,58,60,62,0,SUB,12,750000,Shrewsbury,
E. Youan,3000,21,France,64,49,64,16,19,0,RES,20,825000,FC St. Gallen,
D. Yearwood,1000,20,England,54,59,67,62,60,0,SUB,16,800000,New York Red Bulls,
Sergio Benito,2000,21,Spain,64,51,68,20,16,0,RES,26,825000,Rayo Vallecano,
J. Roles,2000,21,Cyprus,60,59,64,49,44,0,SUB,17,800000,Burton Albion,
N. Stierlin,1000,20,Germany,55,57,56,68,59,0,SUB,26,775000,SpVgg Unterhaching,
C. Akono,4000,20,Germany,63,50,62,23,24,0,RES,30,825000,1. FSV Mainz 05,
J. Kitolano,500,18,Norway,52,58,67,59,55,0,RCM,16,750000,Odds BK,
C. Morton,2000,20,England,61,48,62,32,26,0,SUB,19,825000,Lincoln City,
Daniel Rebollo,2000,20,Spain,0,0,0,14,13,62,RES,30,675000,Real Betis,
M. Kiprit,2000,20,Turkey,63,47,60,21,15,0,RES,25,825000,KFC Uerdingen 05,
Pascu,2000,20,Spain,56,64,63,55,47,0,SUB,23,800000,ADO Den Haag,
S. Keita,2000,19,Mali,56,59,67,30,28,0,RES,13,800000,KAS Eupen,
M. Diarra,800,19,France,31,46,58,65,66,0,LB,23,725000,Toulouse Football Club,
L. Greiml,2000,18,Austria,30,46,42,68,66,0,LCB,30,700000,SK Rapid Wien,
V. Ozornwafor,7000,21,Nigeria,36,39,37,69,63,0,RES,48,750000,Galatasaray SK,
D. Huiberts,2000,20,Netherlands,49,59,71,59,63,0,LCM,30,800000,PEC Zwolle,
Jeremy,2000,20,Spain,46,51,60,62,63,0,SUB,34,750000,CD Tenerife,
A. Colpani,500,21,Italy,54,63,67,59,58,0,RES,28,800000,AC Monza,
N. Colombo,2000,21,Argentina,39,47,46,68,65,0,RCB,15,750000,Estudiantes de La Plata,
Berto Horreo,1000,20,Spain,0,0,0,12,13,61,RES,30,675000,Real Oviedo,
G. Merloi,2000,20,Romania,58,58,65,36,31,0,SUB,80,800000,Astra Giurgiu,
D. Dike,2000,20,United States,61,43,50,15,10,0,ST,18,825000,Orlando City SC,
J. Mazzaco,2000,20,Argentina,48,51,61,64,62,0,SUB,13,750000,Rosario Central,
F. Di≠az,500,17,Uruguay,37,54,53,69,64,0,LCM,29,675000,Liverpool Futbol Club,
M. Karamoko,5000,20,France,65,49,58,27,21,0,SUB,9,825000,LASK Linz,
Baena,3000,19,Spain,53,60,64,31,26,0,RES,29,800000,Real Betis,
N. Seiwald,3000,19,Austria,55,63,63,62,56,0,RES,13,775000,Red Bull Salzburg,
E. Guessand,4000,19,France,62,51,60,21,18,0,RES,35,800000,OGC Nice,
